player_id,Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,league,saison
201b4ee4,345,Ibrahim Mbaye,SEN,FW,Paris Saint-Germain,16.0,2008.0,9,4,340,3.8,1,1,2,1,0,0,0,0,0.26,0.26,0.53,0.26,0.53,Matches,ligue1,2024-2025
0f86995c,346,Hianga'a Mbock,FRA,MF,Brest,24.0,1999.0,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
a5f5d094,347,Mark McKenzie,USA,DF,Toulouse,25.0,1999.0,30,29,2496,27.7,1,1,2,1,0,0,1,1,0.04,0.04,0.07,0.04,0.07,Matches,ligue1,2024-2025
6f5ec8bb,348,Facundo Medina,ARG,DF,Lens,25.0,1999.0,29,29,2543,28.3,0,1,1,0,0,0,15,1,0.0,0.04,0.04,0.0,0.04,Matches,ligue1,2024-2025
e1a873eb,349,Henrik Meister,DEN,FW,Rennes,20.0,2003.0,4,0,63,0.7,1,0,1,1,0,0,0,0,1.43,0.0,1.43,1.43,1.43,Matches,ligue1,2024-2025
04ac78d2,350,Bamo Meïté,CIV,DF,Montpellier,22.0,2001.0,7,6,424,4.7,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
04ac78d2,351,Bamo Meïté,CIV,DF,Marseille,22.0,2001.0,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
424cbbb3,352,Kader Meïté,FRA,FW,Rennes,16.0,2007.0,12,5,544,6.0,2,0,2,2,0,0,0,0,0.33,0.0,0.33,0.33,0.33,Matches,ligue1,2024-2025
d21e361a,353,Farid El Melali,ALG,"MF,FW",Angers,27.0,1997.0,32,22,1893,21.0,2,3,5,2,0,0,1,0,0.1,0.14,0.24,0.1,0.24,Matches,ligue1,2024-2025
f20e4cc9,354,Nuno Mendes,POR,DF,Paris Saint-Germain,22.0,2002.0,24,19,1676,18.6,1,3,4,1,0,0,3,0,0.05,0.16,0.21,0.05,0.21,Matches,ligue1,2024-2025
3322e296,355,Antoine Mendy,SEN,"DF,MF",Nice,20.0,2004.0,18,8,825,9.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
1598599e,356,Nampalys Mendy,SEN,MF,Lens,32.0,1992.0,10,7,588,6.5,0,1,1,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15,Matches,ligue1,2024-2025
9bdd8118,357,Gideon Mensah,GHA,"DF,MF",Auxerre,26.0,1998.0,29,26,2280,25.3,0,1,1,0,0,0,2,0,0.0,0.04,0.04,0.0,0.04,Matches,ligue1,2024-2025
0bfca6a1,358,Quentin Merlin,FRA,"MF,DF",Marseille,22.0,2002.0,27,21,1589,17.7,1,3,4,1,0,0,1,0,0.06,0.17,0.23,0.06,0.23,Matches,ligue1,2024-2025
bbc86fc4,359,Rafik Messali,FRA,MF,Toulouse,21.0,2003.0,13,5,456,5.1,0,1,1,0,0,0,0,0,0.0,0.2,0.2,0.0,0.2,Matches,ligue1,2024-2025
e162b013,360,Thomas Meunier,BEL,DF,Lille,32.0,1991.0,30,21,1928,21.4,2,0,2,2,0,0,5,0,0.09,0.0,0.09,0.09,0.09,Matches,ligue1,2024-2025
0c7b1c91,361,Lucas Michal,FRA,FW,Monaco,19.0,2005.0,8,0,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
4788cb6b,362,Georges Mikautadze,GEO,"FW,MF",Lyon,23.0,2000.0,34,13,1449,16.1,11,6,17,8,3,4,2,0,0.68,0.37,1.06,0.5,0.87,Matches,ligue1,2024-2025
3ba938b6,363,Igor Miladinović,SRB,MF,Saint-Étienne,21.0,2003.0,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
f833a830,364,Takumi Minamino,JPN,MF,Monaco,29.0,1995.0,31,27,2231,24.8,6,3,9,6,0,0,4,0,0.24,0.12,0.36,0.24,0.36,Matches,ligue1,2024-2025
02b3733e,365,Lucas Mincarelli,FRA,DF,Montpellier,20.0,2004.0,10,8,715,7.9,1,0,1,1,0,0,0,0,0.13,0.0,0.13,0.13,0.13,Matches,ligue1,2024-2025
065dc209,366,Terem Moffi,NGA,FW,Nice,25.0,1999.0,5,0,58,0.6,1,0,1,1,0,0,0,0,1.55,0.0,1.55,1.55,1.55,Matches,ligue1,2024-2025
595e6f3e,367,Mostafa Mohamed,EGY,FW,Nantes,26.0,1997.0,30,11,1252,13.9,5,0,5,5,0,0,3,0,0.36,0.0,0.36,0.36,0.36,Matches,ligue1,2024-2025
7e82a78f,368,Florent Mollet,FRA,MF,Nantes,32.0,1991.0,9,3,242,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
